maleIsoIndMeans,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
191.666666666667,0,198.105128205128,141.855555555556,1,NaN,2.60167892520229,2.4977005772516,2.41294016284276
226.5,0,NaN,NaN,NaN,2,NaN,NaN,NaN
0,168.233333333333,NaN,NaN,3,NaN,NaN,NaN,NaN
0,92.1,NaN,NaN,4,NaN,NaN,NaN,NaN
0,121.733333333333,NaN,NaN,5,NaN,NaN,NaN,NaN
178.166666666667,0,NaN,NaN,6,NaN,NaN,NaN,NaN
211.966666666667,0,NaN,NaN,7,NaN,NaN,NaN,NaN
0,151.966666666667,NaN,NaN,8,NaN,NaN,NaN,NaN
0,127.566666666667,NaN,NaN,9,9,NaN,NaN,NaN
210.666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210.333333333333,0,NaN,NaN,NaN,12,NaN,NaN,NaN
0,201.733333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,174.433333333333,NaN,NaN,NaN,14,NaN,NaN,NaN
232.366666666667,0,NaN,NaN,NaN,15,NaN,NaN,NaN
262.133333333333,0,NaN,NaN,16,16,NaN,NaN,NaN
0,130.1,NaN,NaN,17,17,NaN,NaN,NaN
0,111.8,NaN,NaN,NaN,19,NaN,NaN,NaN
0,151.933333333333,NaN,NaN,NaN,20,NaN,NaN,NaN
146.166666666667,0,NaN,NaN,NaN,21,NaN,NaN,NaN
185.5,0,NaN,NaN,22,NaN,NaN,NaN,NaN
0,108.666666666667,NaN,NaN,23,23,NaN,NaN,NaN
242.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142.066666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135.166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
